"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","2460","","","","Imported:BAT_2460","https://www.keyelco.com/userAssets/file/M65p28.pdf"
"C1,C2","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3,C8","2",">1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4,C5,C6","3","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C7","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","LED","","","","LED_SMD:LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"F1","1","MF-R075","","","","Imported:FUS_MF-R075_BRN","MF-R075"
"H1,H2","2","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J1","1","UJ20-C-H-G-SMT-1-P16-TR","","","","Imported:SAMESKY_UJ20-C-H-G-SMT-1-P16-TR",""
"J2","1","Conn_01x02","","","","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal","~"
"L1","1","1uH","","","","Resistor_THT:R_Bare_Metal_Element_L21.3mm_W4.8mm_P20.30mm","~"
"R1","1","1M","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2,R3","2","56K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4,R5,R10","3","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6","1","62K +- 1%","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"R7","1","375","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8","1","24K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R9","1","103AT-2","","","","Resistor_THT:R_Bare_Metal_Element_L21.3mm_W4.8mm_P20.30mm","https://www.semitec-global.com/uploads/2022/01/P12-13-AT-Thermistor.pdf"
"R11","1","560K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R12","1","100K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"U2","1","MP28164GD-Z","","","","Imported:QFN-11_MP28164_MNP","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP28164GD-Z"
"U3","1","BQ25172DSGR","","","","DSG0008A-IPC_A","BQ25172DSGR"
