Designator,Mid X,Mid Y,Rotation,Layer
BT1,128.0,-69.5,0.0,top
C1,131.24,-91.7875,270.0,bottom
C10,109.0,-80.25,90.0,top
C2,136.0,-91.7875,270.0,bottom
C3,142.0,-71.0,0.0,bottom
C4,154.25,-72.9625,270.0,bottom
C5,150.5,-71.7875,270.0,bottom
C6,114.0,-80.5,0.0,top
C7,105.5,-84.76,0.0,top
C8,105.5,-82.75,180.0,top
C9,105.4625,-80.75,180.0,top
D1,118.25,-75.5,0.0,bottom
D2,130.25,-79.725,90.0,bottom
D3,124.5,-91.0,90.0,top
F1,119.25,-90.2625,90.0,top
J2,147.305,-83.0,270.0,bottom
J3,117.5,-100.75,0.0,top
L1,111.5,-67.1329,270.0,bottom
Q1,132.47,-67.185,90.0,bottom
Q3,119.25,-83.025,90.0,top
R1,113.5,-91.5975,90.0,top
R10,106.75,-89.25,0.0,top
R11,106.75,-94.0,180.0,top
R3,113.5,-75.5,0.0,bottom
R4,124.5,-86.75,270.0,top
R5,102.25,-89.75,90.0,top
R6,123.0,-70.0,90.0,bottom
R7,141.75,-74.5,180.0,bottom
R8,102.25,-95.0,90.0,top
R9,126.0,-78.75,180.0,bottom
U1,136.5,-79.25,180.0,bottom
U2,141.75,-66.0,180.0,bottom
U3,113.25,-86.1673,0.0,top
